sector,confianza,evidencia,nombre,provider_type,estado,ciudad,correo,sitio_web,ficha_id
"","duda","sin resolver: Sitio sin aviso de privacidad ni razón social; nada en RFOSC, DENUE ni Sección Amarilla","Everland","clinic","Nuevo León","Monterrey","everlandmty@outlook.com","https://everlandmty.mx","84676949-9cc0-4e6b-87d8-cdac3894cc74"
"social","alta","verificado en la web: Grupo de Atención Multidisciplinaria para el Autismo A.C.; handles @gamamxac","Grupo de Atención Multidisciplinaria para el Autismo (GAMA)","clinic","Ciudad de México","Benito Juárez","gamamxac@gmail.com","","10e4d3b3-b2fa-4ad4-bf6a-1baf012a36aa"
"social","alta","verificado en la web: Instituto de Rehabilitación y Educación Especial de León, Gto. A.C., sin fines de lucro","Instituto de Rehabilitación y Educación Especial de León (I.R.E.E.)","school","Guanajuato","León","contacto@institutoireeleon.com.mx","http://institutoireeleon.com.mx","8444f121-110c-431c-8349-13faee451f0c"
"","duda","sin resolver: Sin colegiatura publicada, sin figura jurídica en RFOSC ni en directorios","Kuali Home School","school","Ciudad de México","Cuajimalpa","kuali.home@gmail.com","","69cca079-44c6-42fd-970c-8a22ac905aaf"
"privado","media","verificado en la web: Centro con agenda de citas, correo gmail, sin figura jurídica ni donativos","Medicina Cognitiva","clinic","Ciudad de México","Tlalpan","medicinacognitiva@gmail.com","https://medicinacognitiva.com.mx/","c7565f4d-6af0-4b90-8d83-2fe00fca95c3"
"privado","alta","persona física con título","Mtra. Yeimy Rocío Ávila Pontón","service_provider","Chiapas","Tuxtla Gutiérrez","info@bienestar-unete.com","https://bienestar-unete.com","6e7b4b53-a800-4fb7-bc1e-2acbed9b83d3"
"privado","media","verificado en la web: Práctica personal de la psicóloga titular: IG y correo personales en el pie","Neuro Kids Puebla","clinic","Puebla","Puebla capital (Zavaleta)","giny.valdez@gmail.com","https://neurokidspuebla.com","38c6d495-fbf4-4c63-8702-1434a33a52b9"
"","duda","sin resolver: Sin figura jurídica, precios ni donatarias; solo ficha de directorio","Neurobica Smart Kids","clinic","Veracruz","Orizaba","clarrca@hotmail.com","","3f75fffb-8a40-468d-9c35-ce01649abb0f"
"privado","alta","verificado en la web: Neuro Industrias, S.A. de C.V. (aviso de privacidad de neurocenter.mx)","Neurocenter","clinic","Nuevo León","Monterrey","hola@neurocenter.mx","https://neurocenter.mx/","05ba4dd5-a637-42de-9338-00a83bb3cce6"
"","duda","sin resolver: Escuela sin colegiatura ni donativos publicados; sin A.C. en FB, SAT ni RFOSC","Neurodiversos","school","Veracruz","Veracruz","neurodiversosveracruz@gmail.com","","8e7aa301-1be7-49ee-8878-3f1b74dcabb7"
"privado","alta","verificado en la web: Tienda con precios en pesos y pago con tarjeta a meses (neurofeedbackgdl.com)","Neurofeedback Guadalajara","clinic","Jalisco","Guadalajara","info@neurofeedbackgdl.com","https://www.neurofeedbackgdl.com/","d8a1256f-2c35-4ccf-ae55-53fd46ea9923"
"","duda","sin resolver: Solo registro COFEPRIS; sin aviso de privacidad, razón social ni precios","NeuroKinetic Childhood Center","clinic","Jalisco","Zapopan","contacto@neurokinetic.mx","https://www.neurokinetic.mx/","5b920b5c-99e2-45df-ad7b-f7329895e010"
"privado","alta","persona física con título","Neuropsic. Sofía Torres Guerrero","service_provider","Yucatán","Mérida","info@psicomerida.com","https://psicomerida.com/","ed5c80b5-42d8-48dd-8bae-98729b2c55bc"
"","duda","sin resolver: Directorio dice sin fines de lucro, pero el nombre es de un psicólogo en ejercicio: contradicción sin resolver","Proyecto A (Psic. Omar Ispe)","service_provider","Ciudad de México","Gustavo A. Madero","psic_omarispe@hotmail.com","","e497f3a3-ddfa-45df-9e3c-f2d6111beaaf"
"","duda","sin resolver: Sin sitio, sin figura jurídica ni precios; solo ficha de directorio","Psinapsis Clínica de Integración Sensorial y Neurodesarrollo","clinic","Veracruz","Boca del Río","psinapsis.contacto@gmail.com","","70d22ba9-d5c7-4aaa-b4b3-326fdbf0ecfc"
"privado","alta","verificado en la web: Se define como centro de atención privado en rehabilitación (clinicarie.com)","RIE — Rehabilitación Integral Especializada","clinic","Guanajuato","Celaya","riebajio@gmail.com","https://www.clinicarie.com","94005eb5-bf86-4590-a31b-92f3219a1eeb"
"privado","alta","verificado en la web: Centros de Terapias para el desarrollo del Ser, S.C. (aviso de privacidad)","Therapy Center Mexico (TCM)","clinic","Querétaro","Santiago de Querétaro","contacto@therapycentermexico.com.mx","https://www.therapycentermexico.com.mx/","3d4287c2-78a6-4b67-9e52-3f740d53e303"
