cargar,red,ambito,ya_en_directorio,nombre,estado,ciudad,correo,telefono,sitio_web,notas
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Asociación Reynosense de Alzheimer, A.C.","Tamaulipas","Reynosa","alzheimerreynosa@gmail.com","(899) 923-5399","","grupo de apoyo · el padrón la ubica mal en Sonora"
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Asociación Alzheimer Tampico-Madero, A.C.","Tamaulipas","Tampico","casa-alzheimer@hotmail.com","(833) 227-9937","","grupo de apoyo · su dominio ya no resuelve"
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Alzheimer del Sureste","Yucatán","Mérida","alzsureste@gmail.com","999-438-9842","","sin datos en el padrón"
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Centro Mexicano Alzheimer, A.C.","Ciudad de México","Ciudad de México","contacto@cmalzheimer.org.mx","55 8991 4000","cmalzheimer.org","centro de día, terapia MAKS de estimulación multimodal, capacitación · afiliación a FEDMA no confirmada"
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","SALUM","México","Naucalpan de Juárez","salum.neurodesarrollo@gmail.com","5520857339","",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Centro de Psicoterapia y Meditación","Ciudad de México","Benito Juárez","contacto@miterapia.org","5651532477","https://clinica.miterapia.org/",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Brilus","Ciudad de México","Benito Juárez","familias@somosbrilus.com","5562151706","https://somosbrilus.com/",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","CCYET Centro de Capacitación y Educación Terapéutica","Ciudad de México","Cuauhtémoc","contacto@ccyet.mx","5556018375","https://www.ccyet.mx",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Centro Impulsa Kids","Ciudad de México","Álvaro Obregón","centroimpulsakids@gmail.com","5551438581","https://impulsakids.com",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Kokonkali","Querétaro","Querétaro","kokonkali.contacto@gmail.com","4425024776","",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","ECO Casa de Aprendizaje","Ciudad de México","Álvaro Obregón","hola@casaeco.mx","5541717551","https://casaeco.mx",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Espacio de Atención Autista","Michoacán","Tangancícuaro","institutodelamujer@tangancicuaro.gob.mx","3555532001","",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","ATEAMS Monclova","Coahuila","Monclova","perlacostilla94@gmail.com","8661362057","",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Yuma Autismo y Neurodesarrollo A.C.","Hidalgo","Pachuca de Soto","yumaautismo.ac@gmail.com","7711834010","",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Mi Casita TEA","Ciudad de México","Tlalpan","micasitatea@gmail.com","5536972988","",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","SI","Abriendo Posibilidades","Ciudad de México","Álvaro Obregón","contacto@abriendoposibilidades.org","5620032856","https://www.abriendoposibilidades.org/",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Asesoría para el Manejo Adecuado de la Discapacidad (AMAD)","Puebla","San Pedro Cholula","administracion@amad.org.mx","2215955430","https://www.amad.org.mx/",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Clínica de Atención Infantil y Neurodesarrollo CAI","Nuevo León","Monterrey","recepcion@clinicainfantil.com.mx","8110869027","https://clinicainfantil.com.mx/",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Destelo","Nuevo León","San Pedro Garza García","centrodestelo@gmail.com","8114685724","https://centrodestelo.com/",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","IntegraMAS con Diana Cortés","Ciudad de México","Coyoacán","terapeutadiana.cortes@gmail.com","5621793694","",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Bloom Childrens Center","Nuevo León","San Pedro Garza García","contacto@bloomcenter.mx","8130840381","",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","PAD Play and Discover","México","Atizapán de Zaragoza","coordinacion@centropad.com","5516637006","https://centropad.com",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Pequeños Maestros","Veracruz","Orizaba","peque.maestrosorizaba@gmail.com","2722351420","",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","SI","ECO Atención a la Neurodiversidad","Querétaro","Querétaro","eco.neurodiversidad@gmail.com","4428715209","",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","SI","Grupo de Atención Multidisciplinaria para el Autismo, GAMA","Ciudad de México","Benito Juárez","gamamxac@gmail.com","5566535459","",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Clínica Integral Autentic","Ciudad de México","Tlalpan","autenticautismo@gmail.com","5540801243","",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Espacio Terapéutico Integral","Ciudad de México","La Magdalena Contreras","espacioterapeuticointegralsur@gmail.com","5519144787","",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","STEA Orientación Terapéutica","Chihuahua","Chihuahua","steaorientacion@gmail.com","6143552738","",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Fabulare Centro Educativo","Chihuahua","Chihuahua","fabularemx@gmail.com","6141020948","https://www.holafabulare.com/",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","ANDEY Autismo","Hidalgo","Pachuca de Soto","terapia@andey.com.mx","5580802451","https://andey.com.mx",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Centro de Apoyo Educativo EDUCREA","Chihuahua","Chihuahua","cdeeducreac2021@gmail.com","6143001031","",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Fundación Mexicana de Autismo TATO, I.A.P.","Colima","Villa de Álvarez","fundacionautismotato@gmail.com","3123304400","https://autismotato.org/",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Azulado - Centro de Atención Infantil","Nuevo León","Guadalupe","azuladopsicologia@gmail.com","8130984667","",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Centro Terapéutico Integral Parola","Chihuahua","Chihuahua","parolaterapias@gmail.com","6144134969","",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Asesoría para el Manejo Adecuado de la Discapacidad A.C. (AMAD - segunda ficha)","Puebla","Puebla","direccion@amad.org.mx","2215955430","https://www.amad.org.mx/nuevo_sitio/",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Autismo Puebla","Puebla","Puebla","contacto@autismopuebla.org","2222334551","https://www.autismopuebla.org/",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Comunidad Unique","Ciudad de México","Tlalpan","contacto@comunidadunique.org.mx","5556845548","https://www.comunidadunique.org.mx",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","SI","Crea tu Mundo Autismo","Ciudad de México","La Magdalena Contreras","contacto@creatumundo.com.mx","5551892059","https://www.creatumundo.com.mx/",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Centro Hacer Para Ser","Ciudad de México","Miguel Hidalgo","hacerparaser@gmail.com","5552944713","",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","no","Inclúyeme en tu Mundo AC","Tabasco","Centro","contacto@incluyemeentumundo.org","9931494913","https://incluyemeentumundo.org/",""
"","Iluminemos por el Autismo","neurodesarrollo | neurodivergencias","SI","Iluminemos por el Autismo A.C.","Ciudad de México","Miguel Hidalgo","contacto@iluminemos.org","5591717277","https://iluminemos.org/",""
"","Voz Pro Salud Mental","salud mental (decidir si entra)","no","Voz Pro Salud Mental Aguascalientes A.C.","Aguascalientes","Aguascalientes","aguascalientes@vozprosaludmental.org.mx","4491884295","",""
"","Voz Pro Salud Mental","salud mental (decidir si entra)","no","PEMLA (Por una Estabilidad Mental en Lazos del Amor, A.C.)","Chihuahua","Chihuahua","chihuahua@vozprosaludmental.org.mx","6141325846","",""
"","Voz Pro Salud Mental","salud mental (decidir si entra)","no","Voz Pro Salud Mental Ciudad de México, A.C.","Ciudad de México","Ciudad de México","cdmx@vozprosaludmental.org.mx","5519975040","",""
"","Voz Pro Salud Mental","salud mental (decidir si entra)","no","Voz Pro Salud Mental Jalisco A.C.","Jalisco","Guadalajara","guadalajara@vozprosaludmental.org.mx","3338174088","",""
"","Voz Pro Salud Mental","salud mental (decidir si entra)","no","AIBME Sonora","Sonora","Hermosillo","hermosillo@vozprosaludmental.com.mx","6622761769","",""
"","Voz Pro Salud Mental","salud mental (decidir si entra)","no","Ingenium ABP","Nuevo León","Monterrey","tutuy.ingenium@gmail.com","8180409418","ingenium.org.mx",""
"","Voz Pro Salud Mental","salud mental (decidir si entra)","no","Voz Pro Salud Mental Puebla A.C.","Puebla","Puebla","mvazquez@vozprosaludmental.org.mx","2222964774","",""
"","Voz Pro Salud Mental","salud mental (decidir si entra)","no","Dinámica Familiar Laguna A.C. (oficina Saltillo)","Coahuila","Saltillo","saltillo@vozprosaludmental.org.mx","8441323814","",""
"","Voz Pro Salud Mental","salud mental (decidir si entra)","no","Dinámica Familiar Laguna A.C. (Torreón)","Coahuila","Torreón","saltillo@vozprosaludmental.org.mx","8712261325","",""
"","Voz Pro Salud Mental","salud mental (decidir si entra)","no","Voz Pro Salud Mental Monclova","Coahuila","Monclova","fbayer@live.com","8661361661","",""
"","Voz Pro Salud Mental","salud mental (decidir si entra)","no","Voz Pro Salud Mental Cancún","Quintana Roo","Cancún","","","",""
